event_id,season,player_id,player_name,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,paired_internal_faces,source_faces
TM-2022-01181,2022/23,616638,Alassane Sidibe,4031,Cosenza Calcio,800,Atalanta BC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/01/2023,0,IN
TM-2022-01182,2022/23,616638,Alassane Sidibe,800,Atalanta BC,4031,Cosenza Calcio,LOAN,loan transfer,0,OUT
TM-2022-01183,2022/23,616638,Alassane Sidibe,800,Atalanta BC,408,Ascoli Calcio,LOAN,loan transfer,0,OUT
TM-2022-01184,2022/23,616667,Mattia Pagliuca,4324,Imolese Calcio 1919,1025,Bologna FC 1909,LOAN_RETURN_OR_END_OF_LOAN,End of loan 12/01/2023,0,IN
TM-2022-01185,2022/23,617019,Matthew Garbett,12130,Torino Primavera,416,Torino FC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01186,2022/23,617019,Matthew Garbett,416,Torino FC,132,NAC Breda,LOAN,loan transfer,0,OUT
TM-2022-01187,2022/23,617170,Martin Palumbo,410,Udinese Calcio,41101,Juventus Next Gen,LOAN,loan transfer,0,OUT
TM-2022-01188,2022/23,617170,Martin Palumbo,41101,Juventus Next Gen,410,Udinese Calcio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01189,2022/23,61757,Nicola Rigoni,1429,Cesena FC,2919,AC Monza,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01190,2022/23,61757,Nicola Rigoni,2919,AC Monza,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2022-01191,2022/23,61770,Emanuele Terranova,2239,US Cremonese,332,SSC Bari,PERMANENT_OR_OTHER_EXPLICIT,?,0,OUT
